Moderato cantabile(OOOOO)	노래하듯이
리타르단도(OO OOO)	점점 느리게
poco piu mosso(OO OOO)	점점 빠르게
몰토 리트르단도(OO OO OOO)	매우 점점 느리게
랄렌탄도(OO OOO)	점점 느리게
셋잇단 음표 박자 계산법은?(OO O OOO OOO.)	세개 중 한개를 버린다.
Larghetto(ooooo보다 OO OOO)	Largo보다 조금 빠르게
슈베르트의 출생지는?	오스트리아
서곡을 설명하시오.(막이 OO기 O에 O의 OO을 OO하는 관현악곡이다.)	막이 오르기 전에 극의 내용을 암시하는 관현악곡이다.
apple(OOO OO가 OO OO)	스티브 잡스가 만든 회사
galaxy(OO의 OOO)	삼성의 브랜드
Life is good(oo의 뜻)	LG의 뜻
예술가곡의 세가지 요소는?(O, OO, OOO OO)	시, 노래, 피아노 반주
막과 막 사이에 연주되는 관현악곡은?	간주곡
Largo보다 조금 빠른것은?(ooooo)	Largo
오스트리아는?(OOOO의 OOO)	슈베르트의 출생지
아리아를 설명하시오.(OOO OO에 맞춰 OOO가 OO를 발휘할 수 있게 OO한 OOO인 OO의 독창곡이다.)	관현악 반주에 맞춰 독창자가 기교를 발휘할 수 있게 작곡한 서정적인 가락의 독창곡이다.
서곡이 끝난 후 연주되는 곡이나 중창, 합창을 말하며, '오프닝 코러스'라고도 하는 것은?	오프닝 넘버
